,dataset,method,train_or_test,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani
71,indextrack5,MVOvolatility,test,-0.9554945799035717,0.9968821780653584,0.4513358372127587,0.610046889097337,-0.83364611991702,0.4361342425738441,-1.931850420514423,-1.9145743832215931,-0.8289675898353579
72,indextrack5,MVOrisk,train,-0.7465000551721372,0.974717788341271,0.45084469610374994,0.3093266440541501,0.1430523683012335,0.5130462805381698,0.2614820015077622,0.2784251243130655,0.14271667031660912
73,indextrack5,MVOrisk,test,-0.9554945799035717,0.9968821780653584,0.4513358372127587,0.610046889097337,-0.83364611991702,0.4361342425738441,-1.931850420514423,-1.9145743832215931,-0.8289675898353579
74,indextrack5,MVOreturn,train,-0.7465000551721372,0.974717788341271,0.45084469610374994,0.3093266440541501,0.1430523683012335,0.5130462805381698,0.2614820015077622,0.2784251243130655,0.14271667031660912
75,indextrack5,MVOreturn,test,-0.9554945799035717,0.9968821780653584,0.4513358372127587,0.610046889097337,-0.83364611991702,0.4361342425738441,-1.931850420514423,-1.9145743832215931,-0.8289675898353579
76,indextrack5,MVOsharpe,train,-0.7465000551721372,0.974717788341271,0.45084469610374994,0.3093266440541501,0.1430523683012335,0.5130462805381698,0.2614820015077622,0.2784251243130655,0.14271667031660912
77,indextrack5,MVOsharpe,test,-0.9554945799035717,0.9968821780653584,0.4513358372127587,0.610046889097337,-0.83364611991702,0.4361342425738441,-1.931850420514423,-1.9145743832215931,-0.8289675898353579
78,indextrack5,CLAvolatility,train,-0.7465000551721372,0.974717788341271,0.45084469610374994,0.3093266440541501,0.1430523683012335,0.5130462805381698,0.2614820015077622,0.2784251243130655,0.14271667031660912
79,indextrack5,CLAvolatility,test,-0.9554945799035717,0.9968821780653584,0.4513358372127587,0.610046889097337,-0.83364611991702,0.4361342425738441,-1.931850420514423,-1.9145743832215931,-0.8289675898353579
80,indextrack5,CLAsharpe,train,-0.7465000551721372,0.974717788341271,0.45084469610374994,0.3093266440541501,0.1430523683012335,0.5130462805381698,0.2614820015077622,0.2784251243130655,0.14271667031660912
81,indextrack5,CLAsharpe,test,-0.9554945799035717,0.9968821780653584,0.4513358372127587,0.610046889097337,-0.83364611991702,0.4361342425738441,-1.931850420514423,-1.9145743832215931,-0.8289675898353579
82,indextrack5,HRP,train,-0.7465000551721372,0.974717788341271,0.45084469610374994,0.3093266440541501,0.042382589521867554,0.4810794153971249,0.06959888211851281,0.08171319608849183,0.04451809458836155
83,indextrack5,HRP,test,-0.9554945799035717,0.9968821780653584,0.4513358372127587,0.610046889097337,-0.7446780541858806,0.42274093590246786,-1.7826001462979715,-1.7094429313309316,-0.7642358868980751
